source_chain,old_source_address,old_address_as_cosmos,old_balance_micro,old_balance_phmn,distribution_status,will_receive_new_phmn_on_this_old_address,new_phmn_recipient_or_handling,reason,published_destination_note,tags,relation_notes,accounting_layer,accounting_note
juno,juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0,cosmos1pqardc39d558mr58nx5m2wgmy448pv9409wz6n,15100000000,15100.000000,excluded_incident,no,Strategic SubDAO treasury,Excluded incident-related address. New PHMN will not be sent to this old address; amount is routed to Strategic SubDAO handling per operator-confirmed rules.,attacker_same_key: confirmed pqard attacker same raw key; minted/sold/moved unauthorized PHMN on 2026-06-10,attacker_same_key,confirmed pqard attacker same raw key; minted/sold/moved unauthorized PHMN on 2026-06-10,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno100umj2mnu0u6ujf37c9a3xfy9gl53hu9ekxyyw,cosmos100umj2mnu0u6ujf37c9a3xfy9gl53hu90y9lrj,2032149313,2032.149313,excluded_incident,no,Strategic SubDAO treasury,Excluded incident-related address. New PHMN will not be sent to this old address; amount is routed to Strategic SubDAO handling per operator-confirmed rules.,compromised_minter: old PHMN compromised minter address involved in unauthorized 30000 PHMN mint,compromised_minter,old PHMN compromised minter address involved in unauthorized 30000 PHMN mint,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1eltl6qu6y538vhux3mk3pjpn7redx8najm4u3e,cosmos1eltl6qu6y538vhux3mk3pjpn7redx8nayfk8k9,300009116,300.009116,excluded_olim_operator_confirmed,no,Strategic SubDAO treasury,Olim address cluster. Operator confirmed Olim addresses are excluded from the new PHMN drop; amount is routed to Strategic SubDAO treasury.,Eligible snapshot amount. Destination is the normalized Cosmos address unless a later published claim/distribution mechanism maps it differently.,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.
osmosis,__OSMOSIS_DENOM_OWNER_GAP__,,57230100,57.230100,quarantined_unresolved_accounting_gap,no,Strategic SubDAO treasury,"Unresolved accounting gap, not safely mapped to a user address. New PHMN will not be sent to a user address; amount is routed to Strategic SubDAO handling per operator-confirmed rules.",Remaining unresolved Osmosis bank supply gap after published 2026-06-17 correction. Not mapped to a user address; held for investigation/DAO-controlled handling.,accounting_gap,Osmosis bank supply minus denom-owner row sum. Included here only so canonical ownership accounting reconciles to Juno CW20 total supply.,osmosis_unresolved_bank_supply_gap,"Original unresolved Osmosis gap was 361.054688 PHMN. The 2026-06-17 correction mapped 303.824588 PHMN to osmo1z0e05ptv5hpfh4lp54373t86zxquv3y5vkfm5p, leaving this remainder unresolved."
neutron,neutron1prefwzgnqm0yp579027gt6hl0vlh3ywqt30weknvcgev4r7v0wqqrhl7ry,cosmos1prefwzgnqm0yp579027gt6hl0vlh3ywqt30weknvcgev4r7v0wqqzcw6a8,14652885449,14652.885449,rerouted_to_subdao,no,cosmos1pu90e2gm2kq9lvheqzrh0tl9dw5aqg6v5gr9jug2eqdel0vzuxkqvg72nn,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,neutron_voucher_holder,Counts Neutron PHMN voucher ownership backed by Juno ICS20 escrow.
osmosis,osmo1hyjhy0tp6geral2g9vj9nyteglf8t5q4pqwre8,cosmos1hyjhy0tp6geral2g9vj9nyteglf8t5q4fman04,12661704217,12661.704217,rerouted_to_subdao,no,cosmos1pu90e2gm2kq9lvheqzrh0tl9dw5aqg6v5gr9jug2eqdel0vzuxkqvg72nn,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Core-team Osmosis PHMN balance. Do not distribute new PHMN to the old Osmosis address; reroute this amount to the Liquidity SubDAO Cosmos treasury.,core_team_liquidity_subdao_reroute,Core-team Osmosis PHMN; reroute 12661.704217 PHMN to Liquidity SubDAO in final distribution.,osmosis_voucher_holder,Counts Osmosis PHMN voucher ownership backed by Juno ICS20 escrow. Core-team Osmosis PHMN; reroute 12661.704217 PHMN to Liquidity SubDAO in final distribution.
juno,juno16rd66nkhuc2qvzarqs28z0l6gk50qy5w0jdwk2xygtkjz5kclu9qlsyxl4,cosmos16rd66nkhuc2qvzarqs28z0l6gk50qy5w0jdwk2xygtkjz5kclu9qu4r4g3,3056690993,3056.690993,rerouted_to_subdao,no,cosmos1pu90e2gm2kq9lvheqzrh0tl9dw5aqg6v5gr9jug2eqdel0vzuxkqvg72nn,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1ejdt5w55ad8c3syj8mph3xhchee2jtlcfpw9sm0mq2fh80qygudsjzrwjj,cosmos1ejdt5w55ad8c3syj8mph3xhchee2jtlcfpw9sm0mq2fh80qyguds38ya9k,1030280469,1030.280469,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1cgs9upt55g6ms3a9zwjn4gg2p6n339flzm7mjuuayu7m076lsuvsnf4cka,cosmos1cgs9upt55g6ms3a9zwjn4gg2p6n339flzm7mjuuayu7m076lsuvssvjtpe,800000000,800.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1uwmtcc8lxc7waqy9takvnsautlfx5qp688jykvvuk4fezd8jf6fs549ym2,cosmos1uwmtcc8lxc7waqy9takvnsautlfx5qp688jykvvuk4fezd8jf6fshszhvw,434000000,434.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
